idindiv,configuracion,accuracy,fitness,elitismo,selec,cruce,reemplazamiento
1,1100001,1.858,5.576,2,Ranking,1 punto,Estacionario
2,0000111,1.873,5.621,1,Ranking,1 punto,Estacionario
3,0001101,1.814,5.443,1,Ranking,1 punto,Estacionario
4,0010011,1.790,5.371,1,Ranking,Uniforme,Estacionario
5,0100101,1.832,5.498,2,Ranking,Uniforme,Estacionario
6,0100011,1.849,5.549,1,Ranking,Uniforme,Estacionario
7,0000101,1.827,5.481,0,Ranking,Uniforme,Estacionario
8,0000101,1.847,5.542,0,Ranking,1 punto,Generacional
9,0110001,1.853,5.560,2,Ranking,Uniforme,Generacional
10,0000111,1.852,5.556,0,Ranking,Uniforme,Generacional
11,1010001,1.839,5.519,2,Truncado,1 punto,Estacionario
12,0000111,1.792,5.378,0,Truncado,Uniforme,Estacionario
13,0000111,1.748,5.246,0,Truncado,Uniforme,Estacionario
14,0000111,1.832,5.497,1,Truncado,1 punto,Generacional
15,0000111,1.772,5.317,1,Truncado,Uniforme,Generacional
16,1100001,1.765,5.296,2,Ruleta,1 punto,Estacionario
17,0100101,1.844,5.533,2,Ruleta,Uniforme,Estacionario
18,0010011,1.842,5.527,1,Torneo,Uniforme,Estacionario
19,0110101,1.868,7.474,0,Torneo,Uniforme,Estacionario
20,0000101,1.846,5.540,2,Torneo,Uniforme,Generacional

