idindiv,configuracion,accuracy,fitness,elitismo,selec,cruce,reemplazamiento
1,0000010000000,1.622,1.622,2,Ranking,1 punto,Estacionario
2,1000000000000,2.060,2.0600,2,Ranking,1 punto,Estacionario
3,0010000000000,1.629,1.629,2,Ranking,2 puntos,Estacionario
4,0000000010000,1.674,1.674,0,Ranking,2 puntos,Estacionario
5,0000010000000,1.447,1.447,0,Ranking,Uniforme,Estacionario
6,0001000000000,1.603,1.603,0,Ranking,1 punto,Generacional
7,0000010001000,1.333,2.667,2,Ranking,2 puntos,Generacional
8,0000000000001,2.015,2.015,0,Ranking,2 puntos,Generacional
9,1000000000000,2.128,2.128,0,Ruleta,1 punto,Estacionario
10,0001000010000,1.600,3.201,1,Ruleta,2 puntos,Generacional
11,0001000000000,1.823,1.823,2,Ruleta,2 puntos,Generacional
12,0100001000000,1.869,3.739,0,Ruleta,Uniforme,Generacional
13,0001001000001,1.469,4.408,2,Torneo,1 punto,Estacionario
14,0110101110110,0.964,7.718,0,Torneo,2 puntos,Estacionario
15,0001001100000,1.424,4.273,1,Torneo,2 puntos,Estacionario
16,0000010010000,1.479,2.959,2,Torneo,Uniforme,Estacionario
17,0000000010010,1.831,3.663,2,Torneo,1 punto,Generacional
18,1001110001000,1.537,7.688,0,Torneo,2 puntos,Generacional
19,0000000000010,2.378,2.378,2,Torneo,2 puntos,Generacional
20,0011111000111,1.159,9.275,0,Torneo,Uniforme,Generacional

